id,name
Mil_0,0
Mil_1,100
Mil_2,200
Mil_3,300
Mil_4,400
Mil_5,500
Mil_6,600
Mil_7,700
Mil_8,800
Mil_9,900
Mil_10,1000
Mil_11,2000
Mil_12,3000
Mil_13,4000
Mil_14,5000
Mil_15,6000
Mil_16,7000
Mil_17,8000
Mil_18,9000
Mil_19,10000
Mil_20,20000
Mil_21,30000
Mil_22,40000
Mil_23,50000
Mil_24,60000
Mil_25,70000
Mil_26,80000
Mil_27,90000
Mil_28,100000
Mil_29,200000
Mil_30,300000
Mil_31,400000
Mil_32,500000
Mil_33,600000
Mil_34,700000
Mil_35,800000
Mil_36,900000
Mil_37,1000000
Mil_38,2000000
Mil_39,3000000
Mil_40,4000000
Mil_41,5000000
Mil_42,6000000
Mil_43,7000000
Mil_44,8000000
Mil_45,9000000
Mil_46,10000000
Mil_47,20000000
Mil_48,30000000
Mil_49,40000000
Mil_50,50000000
Mil_51,60000000
Mil_52,70000000
Mil_53,80000000
Mil_54,90000000
Mil_55,100000000
Mil_56,200000000
Mil_57,300000000
Mil_58,400000000
Mil_59,500000000
Mil_60,600000000
Mil_61,700000000
Mil_62,800000000
Mil_63,900000000
Mil_64,1000000000
